"name","one_dose","two_dose","booster","date"
"England4","41655840","38186561","5235928","26/10/2021"
"England4","41655840","38186561","5235928","25/10/2021"
"England4","41636233","38172423","5097840","24/10/2021"
"England4","41604013","38144896","4772700","23/10/2021"
"England4","41562281","38122473","4524517","22/10/2021"
"England4","41517723","38100446","4269111","21/10/2021"
"England4","41473202","38078745","4045295","20/10/2021"
"England4","41434669","38057604","3846287","19/10/2021"
"England4","41399335","38036936","3695991","18/10/2021"
"England4","41389496","38022391","3596683","17/10/2021"
"England4","41369761","37991951","3310953","16/10/2021"
"England4","41333877","37966571","3112868","15/10/2021"
"England4","41295692","37943082","2898581","14/10/2021"
"England4","41263377","37918254","2707883","13/10/2021"
"England4","41232741","37895807","2547873","12/10/2021"
"England4","41209509","37875457","2426155","11/10/2021"
"England4","41200398","37859814","2334277","10/10/2021"
"England4","41181960","37830063","2084199","09/10/2021"
"England4","41156424","37805057","1911554","08/10/2021"
"England4","41131105","37780849","1735500","07/10/2021"
"England4","41106586","37756714","1575113","06/10/2021"
"England4","41071393","37732461","1420970","05/10/2021"
"England4","41040609","37707715","1298612","04/10/2021"
"England4","41029889","37690213","1210379","03/10/2021"
"England4","41011153","37659364","1016620","02/10/2021"
"England4","40979175","37629371","863460","01/10/2021"
